Expression,Value,Location,Type
garFlashFifoW,<array>,0x00035634,FlashFifoW[39]
[0],<struct>,0x00035634,FlashFifoW
u32arHPage,<array>,0x00035634,unsigned int[16]
[0],10790,0x00035634,unsigned int
[1],10791,0x00035638,unsigned int
[2],10792,0x0003563C,unsigned int
[3],10792,0x00035640,unsigned int
[4],10792,0x00035644,unsigned int
[5],10792,0x00035648,unsigned int
[6],10792,0x0003564C,unsigned int
[7],10792,0x00035650,unsigned int
[8],10792,0x00035654,unsigned int
[9],10793,0x00035658,unsigned int
[10],10793,0x0003565C,unsigned int
[11],10793,0x00035660,unsigned int
[12],10793,0x00035664,unsigned int
[13],10793,0x00035668,unsigned int
[14],10793,0x0003566C,unsigned int
[15],10794,0x00035670,unsigned int
u16FPageW,404,0x00035674,unsigned short
u8DesCh,'.' (0x03),0x00035676,unsigned char
u8DesIntlvA,'\0' (0x00),0x00035677,unsigned char
u16BufIdx,0x0060,0x00035678,unsigned short
u16CacheAddr,0x0060,0x0003567A,unsigned short
u16XfrCnt,0x0080,0x0003567C,unsigned short
u16FBlockW,1,0x0003567E,unsigned short
u32OrgDesPage2,3235,0x00035680,unsigned int
u8StateW,'\0' (0x00),0x00035684,unsigned char
u8CmdSrc,'.' (0x04),0x00035685,unsigned char
u8ActMode,'\0' (0x00),0x00035686,unsigned char
u8LSBMode,'€' (0x80),0x00035687,unsigned char
u16SlotFlagW,64,0x00035688,unsigned short
[1],<struct>,0x0003568C,FlashFifoW
u32arHPage,<array>,0x0003568C,unsigned int[16]
[0],4294967295,0x0003568C,unsigned int
[1],4294967295,0x00035690,unsigned int
[2],4294967295,0x00035694,unsigned int
[3],4294967295,0x00035698,unsigned int
[4],4294967295,0x0003569C,unsigned int
[5],4294967295,0x000356A0,unsigned int
[6],4294967295,0x000356A4,unsigned int
[7],4294967295,0x000356A8,unsigned int
[8],4294967295,0x000356AC,unsigned int
[9],4294967295,0x000356B0,unsigned int
[10],4294967295,0x000356B4,unsigned int
[11],4294967295,0x000356B8,unsigned int
[12],4294967295,0x000356BC,unsigned int
[13],4294967295,0x000356C0,unsigned int
[14],4294967295,0x000356C4,unsigned int
[15],4294967295,0x000356C8,unsigned int
u16FPageW,0,0x000356CC,unsigned short
u8DesCh,'\0' (0x00),0x000356CE,unsigned char
u8DesIntlvA,'\0' (0x00),0x000356CF,unsigned char
u16BufIdx,0x00E0,0x000356D0,unsigned short
u16CacheAddr,0x0000,0x000356D2,unsigned short
u16XfrCnt,0x0100,0x000356D4,unsigned short
u16FBlockW,1,0x000356D6,unsigned short
u32OrgDesPage2,32,0x000356D8,unsigned int
u8StateW,'\0' (0x00),0x000356DC,unsigned char
u8CmdSrc,'.' (0x04),0x000356DD,unsigned char
u8ActMode,'.' (0x02),0x000356DE,unsigned char
u8LSBMode,'€' (0x80),0x000356DF,unsigned char
u16SlotFlagW,2177,0x000356E0,unsigned short
[2],<struct>,0x000356E4,FlashFifoW
[3],<struct>,0x0003573C,FlashFifoW
[4],<struct>,0x00035794,FlashFifoW
[5],<struct>,0x000357EC,FlashFifoW
[6],<struct>,0x00035844,FlashFifoW
[7],<struct>,0x0003589C,FlashFifoW
[8],<struct>,0x000358F4,FlashFifoW
[9],<struct>,0x0003594C,FlashFifoW
[10],<struct>,0x000359A4,FlashFifoW
[11],<struct>,0x000359FC,FlashFifoW
[12],<struct>,0x00035A54,FlashFifoW
[13],<struct>,0x00035AAC,FlashFifoW
[14],<struct>,0x00035B04,FlashFifoW
[15],<struct>,0x00035B5C,FlashFifoW
[16],<struct>,0x00035BB4,FlashFifoW
[17],<struct>,0x00035C0C,FlashFifoW
[18],<struct>,0x00035C64,FlashFifoW
[19],<struct>,0x00035CBC,FlashFifoW
[20],<struct>,0x00035D14,FlashFifoW
[21],<struct>,0x00035D6C,FlashFifoW
[22],<struct>,0x00035DC4,FlashFifoW
[23],<struct>,0x00035E1C,FlashFifoW
[24],<struct>,0x00035E74,FlashFifoW
[25],<struct>,0x00035ECC,FlashFifoW
[26],<struct>,0x00035F24,FlashFifoW
[27],<struct>,0x00035F7C,FlashFifoW
[28],<struct>,0x00035FD4,FlashFifoW
[29],<struct>,0x0003602C,FlashFifoW
[30],<struct>,0x00036084,FlashFifoW
[31],<struct>,0x000360DC,FlashFifoW
[32],<struct>,0x00036134,FlashFifoW
[33],<struct>,0x0003618C,FlashFifoW
[34],<struct>,0x000361E4,FlashFifoW
[35],<struct>,0x0003623C,FlashFifoW
[36],<struct>,0x00036294,FlashFifoW
[37],<struct>,0x000362EC,FlashFifoW
[38],<struct>,0x00036344,FlashFifoW
u32arHPage,<array>,0x00036344,unsigned int[16]
[0],10787,0x00036344,unsigned int
[1],10787,0x00036348,unsigned int
[2],10787,0x0003634C,unsigned int
[3],10788,0x00036350,unsigned int
[4],10788,0x00036354,unsigned int
[5],10788,0x00036358,unsigned int
[6],10788,0x0003635C,unsigned int
[7],10789,0x00036360,unsigned int
[8],10789,0x00036364,unsigned int
[9],10789,0x00036368,unsigned int
[10],10789,0x0003636C,unsigned int
[11],10789,0x00036370,unsigned int
[12],10790,0x00036374,unsigned int
[13],10790,0x00036378,unsigned int
[14],10790,0x0003637C,unsigned int
[15],10790,0x00036380,unsigned int
u16FPageW,404,0x00036384,unsigned short
u8DesCh,'.' (0x02),0x00036386,unsigned char
u8DesIntlvA,'\0' (0x00),0x00036387,unsigned char
u16BufIdx,0x03E0,0x00036388,unsigned short
u16CacheAddr,0x03E0,0x0003638A,unsigned short
u16XfrCnt,0x0080,0x0003638C,unsigned short
u16FBlockW,1,0x0003638E,unsigned short
u32OrgDesPage2,3234,0x00036390,unsigned int
u8StateW,'\0' (0x00),0x00036394,unsigned char
u8CmdSrc,'.' (0x04),0x00036395,unsigned char
u8ActMode,'\0' (0x00),0x00036396,unsigned char
u8LSBMode,'€' (0x80),0x00036397,unsigned char
u16SlotFlagW,64,0x00036398,unsigned short
