Expression,Value,Location,Type
garFlashFifoW,<array>,0x00031B70,FlashFifoW[127]
[0],<struct>,0x00031B70,FlashFifoW
u32arHPage,<array>,0x00031B70,unsigned int[16]
u16FPageW,374,0x00031BB0,unsigned short
u8DesCh,'.' (0x05),0x00031BB2,unsigned char
u8DesIntlvA,'\0' (0x00),0x00031BB3,unsigned char
u16BufIdx,1023,0x00031BB4,unsigned short
u16CacheAddr,0,0x00031BB6,unsigned short
u16XfrCnt,0,0x00031BB8,unsigned short
u16FBlockW,18,0x00031BBA,unsigned short
u32OrgDesPage2,0,0x00031BBC,unsigned int
u8StateW,'\0' (0x00),0x00031BC0,unsigned char
u8CmdSrc,'.' (0x04),0x00031BC1,unsigned char
u8ActMode,'\0' (0x00),0x00031BC2,unsigned char
u8LSBMode,'' (0x80),0x00031BC3,unsigned char
u16SlotFlagW,641,0x00031BC4,unsigned short
[1],<struct>,0x00031BC8,FlashFifoW
[2],<struct>,0x00031C20,FlashFifoW
[3],<struct>,0x00031C78,FlashFifoW
[4],<struct>,0x00031CD0,FlashFifoW
[5],<struct>,0x00031D28,FlashFifoW
[6],<struct>,0x00031D80,FlashFifoW
[7],<struct>,0x00031DD8,FlashFifoW
[8],<struct>,0x00031E30,FlashFifoW
[9],<struct>,0x00031E88,FlashFifoW
[10],<struct>,0x00031EE0,FlashFifoW
[11],<struct>,0x00031F38,FlashFifoW
[12],<struct>,0x00031F90,FlashFifoW
[13],<struct>,0x00031FE8,FlashFifoW
[14],<struct>,0x00032040,FlashFifoW
[15],<struct>,0x00032098,FlashFifoW
[16],<struct>,0x000320F0,FlashFifoW
[17],<struct>,0x00032148,FlashFifoW
[18],<struct>,0x000321A0,FlashFifoW
[19],<struct>,0x000321F8,FlashFifoW
[20],<struct>,0x00032250,FlashFifoW
[21],<struct>,0x000322A8,FlashFifoW
[22],<struct>,0x00032300,FlashFifoW
[23],<struct>,0x00032358,FlashFifoW
[24],<struct>,0x000323B0,FlashFifoW
[25],<struct>,0x00032408,FlashFifoW
[26],<struct>,0x00032460,FlashFifoW
[27],<struct>,0x000324B8,FlashFifoW
[28],<struct>,0x00032510,FlashFifoW
[29],<struct>,0x00032568,FlashFifoW
[30],<struct>,0x000325C0,FlashFifoW
[31],<struct>,0x00032618,FlashFifoW
[32],<struct>,0x00032670,FlashFifoW
[33],<struct>,0x000326C8,FlashFifoW
[34],<struct>,0x00032720,FlashFifoW
[35],<struct>,0x00032778,FlashFifoW
[36],<struct>,0x000327D0,FlashFifoW
[37],<struct>,0x00032828,FlashFifoW
[38],<struct>,0x00032880,FlashFifoW
[39],<struct>,0x000328D8,FlashFifoW
[40],<struct>,0x00032930,FlashFifoW
[41],<struct>,0x00032988,FlashFifoW
[42],<struct>,0x000329E0,FlashFifoW
[43],<struct>,0x00032A38,FlashFifoW
[44],<struct>,0x00032A90,FlashFifoW
[45],<struct>,0x00032AE8,FlashFifoW
[46],<struct>,0x00032B40,FlashFifoW
[47],<struct>,0x00032B98,FlashFifoW
[48],<struct>,0x00032BF0,FlashFifoW
[49],<struct>,0x00032C48,FlashFifoW
[50],<struct>,0x00032CA0,FlashFifoW
[51],<struct>,0x00032CF8,FlashFifoW
[52],<struct>,0x00032D50,FlashFifoW
[53],<struct>,0x00032DA8,FlashFifoW
[54],<struct>,0x00032E00,FlashFifoW
[55],<struct>,0x00032E58,FlashFifoW
[56],<struct>,0x00032EB0,FlashFifoW
[57],<struct>,0x00032F08,FlashFifoW
[58],<struct>,0x00032F60,FlashFifoW
[59],<struct>,0x00032FB8,FlashFifoW
[60],<struct>,0x00033010,FlashFifoW
[61],<struct>,0x00033068,FlashFifoW
[62],<struct>,0x000330C0,FlashFifoW
[63],<struct>,0x00033118,FlashFifoW
[64],<struct>,0x00033170,FlashFifoW
[65],<struct>,0x000331C8,FlashFifoW
[66],<struct>,0x00033220,FlashFifoW
[67],<struct>,0x00033278,FlashFifoW
[68],<struct>,0x000332D0,FlashFifoW
[69],<struct>,0x00033328,FlashFifoW
[70],<struct>,0x00033380,FlashFifoW
[71],<struct>,0x000333D8,FlashFifoW
[72],<struct>,0x00033430,FlashFifoW
[73],<struct>,0x00033488,FlashFifoW
[74],<struct>,0x000334E0,FlashFifoW
[75],<struct>,0x00033538,FlashFifoW
[76],<struct>,0x00033590,FlashFifoW
[77],<struct>,0x000335E8,FlashFifoW
[78],<struct>,0x00033640,FlashFifoW
[79],<struct>,0x00033698,FlashFifoW
[80],<struct>,0x000336F0,FlashFifoW
[81],<struct>,0x00033748,FlashFifoW
[82],<struct>,0x000337A0,FlashFifoW
[83],<struct>,0x000337F8,FlashFifoW
[84],<struct>,0x00033850,FlashFifoW
[85],<struct>,0x000338A8,FlashFifoW
[86],<struct>,0x00033900,FlashFifoW
[87],<struct>,0x00033958,FlashFifoW
[88],<struct>,0x000339B0,FlashFifoW
[89],<struct>,0x00033A08,FlashFifoW
[90],<struct>,0x00033A60,FlashFifoW
[91],<struct>,0x00033AB8,FlashFifoW
[92],<struct>,0x00033B10,FlashFifoW
[93],<struct>,0x00033B68,FlashFifoW
[94],<struct>,0x00033BC0,FlashFifoW
[95],<struct>,0x00033C18,FlashFifoW
[96],<struct>,0x00033C70,FlashFifoW
[97],<struct>,0x00033CC8,FlashFifoW
[98],<struct>,0x00033D20,FlashFifoW
[99],<struct>,0x00033D78,FlashFifoW
[100],<struct>,0x00033DD0,FlashFifoW
[101],<struct>,0x00033E28,FlashFifoW
[102],<struct>,0x00033E80,FlashFifoW
[103],<struct>,0x00033ED8,FlashFifoW
[104],<struct>,0x00033F30,FlashFifoW
[105],<struct>,0x00033F88,FlashFifoW
[106],<struct>,0x00033FE0,FlashFifoW
[107],<struct>,0x00034038,FlashFifoW
[108],<struct>,0x00034090,FlashFifoW
[109],<struct>,0x000340E8,FlashFifoW
[110],<struct>,0x00034140,FlashFifoW
[111],<struct>,0x00034198,FlashFifoW
[112],<struct>,0x000341F0,FlashFifoW
[113],<struct>,0x00034248,FlashFifoW
[114],<struct>,0x000342A0,FlashFifoW
[115],<struct>,0x000342F8,FlashFifoW
[116],<struct>,0x00034350,FlashFifoW
[117],<struct>,0x000343A8,FlashFifoW
[118],<struct>,0x00034400,FlashFifoW
[119],<struct>,0x00034458,FlashFifoW
[120],<struct>,0x000344B0,FlashFifoW
[121],<struct>,0x00034508,FlashFifoW
[122],<struct>,0x00034560,FlashFifoW
[123],<struct>,0x000345B8,FlashFifoW
[124],<struct>,0x00034610,FlashFifoW
[125],<struct>,0x00034668,FlashFifoW
[126],<struct>,0x000346C0,FlashFifoW
