ptr,ptr(hex),u32arHPage[16],u16FPageW,u8DesCh,u8DesIntlvA,u16BufIdx,u16CacheAddr,u16XfrCnt,u16FBlockW,u32OrgDesPage2,u8StateW,u8CmdSrc,u8ActMode,u8LSBMode,u16SlotFlagW
0,0x0,"0x000a7cc4,0xc5000a7c,0x7cc5000a,0x0a7cc500,0x000a7cc5,0xc6000a7c,0x7cc6000a,0x0a7cc600,0x000a7cc6,0xc7000a7c,0x7cc7000a,0x0a7cc700,0x000a7cc7,0xc8000a7c,0x7cc8000a,0x0a7cc800",0x000c,0x06,0x00,0x0180,0x3240,0x0040,0x001e,0x000000c6,0x00,0x04,0x00,0x00,0x0040
1,0x1,"0x000a7ccc,0xcd000a7c,0x7ccd000a,0x0a7ccd00,0x000a7ccd,0xce000a7c,0x7cce000a,0x0a7cce00,0x000a7cce,0xcf000a7c,0x7ccf000a,0x0a7ccf00,0x000a7ccf,0xd0000a7c,0x7cd0000a,0x0a7cd000",0x000c,0x07,0x00,0x01c0,0x3280,0x0040,0x001e,0x000000c7,0x00,0x04,0x00,0x00,0x0040
2,0x2,"0xffffffff,0xcdffffff,0x79cdffff,0x0a79cdff,0x000a79cd,0xce000a79,0x79ce000a,0x0a79ce00,0x000a79ce,0xcf000a79,0x79cf000a,0x0a79cf00,0x000a79cf,0xd0000a79,0x79d0000a,0x0a79d000",0x0006,0x07,0x00,0x03ff,0x0000,0x0000,0x001e,0x00000000,0x00,0x04,0x04,0x00,0x0281
3,0x3,"0xffffffff,0xceffffff,0x76ceffff,0x0a76ceff,0x000a76ce,0xcf000a76,0x76cf000a,0x0a76cf00,0x000a76cf,0xd0000a76,0x76d0000a,0x0a76d000,0x000a76d0,0xd1000a76,0x76d1000a,0x0a76d100",0x0000,0x07,0x00,0x0200,0x34c0,0x0200,0x001e,0x00000000,0x00,0x04,0x04,0x00,0x0081
4,0x4,"0x000a7d14,0x15000a7d,0x7d15000a,0x0a7d1500,0x000a7d15,0x16000a7d,0x7d16000a,0x0a7d1600,0x000a7d16,0x17000a7d,0x7d17000a,0x0a7d1700,0x000a7d17,0x18000a7d,0x7d18000a,0x0a7d1800",0x000d,0x00,0x00,0x0200,0x34c0,0x0040,0x001e,0x000000d0,0x00,0x04,0x00,0x00,0x0040
5,0x5,"0x000a7d1c,0x1d000a7d,0x7d1d000a,0x0a7d1d00,0x000a7d1d,0x1e000a7d,0x7d1e000a,0x0a7d1e00,0x000a7d1e,0x1f000a7d,0x7d1f000a,0x0a7d1f00,0x000a7d1f,0x20000a7d,0x7d20000a,0x0a7d2000",0x000d,0x01,0x00,0x0240,0x3500,0x0040,0x001e,0x000000d1,0x00,0x04,0x00,0x00,0x0040
6,0x6,"0x000a7d24,0x25000a7d,0x7d25000a,0x0a7d2500,0x000a7d25,0x26000a7d,0x7d26000a,0x0a7d2600,0x000a7d26,0x27000a7d,0x7d27000a,0x0a7d2700,0x000a7d27,0x28000a7d,0x7d28000a,0x0a7d2800",0x000d,0x02,0x00,0x0280,0x3540,0x0040,0x001e,0x000000d2,0x00,0x04,0x00,0x00,0x0040
7,0x7,"0x000a7d2c,0x2d000a7d,0x7d2d000a,0x0a7d2d00,0x000a7d2d,0x2e000a7d,0x7d2e000a,0x0a7d2e00,0x000a7d2e,0x2f000a7d,0x7d2f000a,0x0a7d2f00,0x000a7d2f,0x30000a7d,0x7d30000a,0x0a7d3000",0x000d,0x03,0x00,0x02c0,0x3580,0x0040,0x001e,0x000000d3,0x00,0x04,0x00,0x00,0x0040
8,0x8,"0x000a7d34,0x35000a7d,0x7d35000a,0x0a7d3500,0x000a7d35,0x36000a7d,0x7d36000a,0x0a7d3600,0x000a7d36,0x37000a7d,0x7d37000a,0x0a7d3700,0x000a7d37,0x38000a7d,0x7d38000a,0x0a7d3800",0x000d,0x04,0x00,0x0300,0x35c0,0x0040,0x001e,0x000000d4,0x00,0x04,0x00,0x00,0x0040
9,0x9,"0x000a7d3c,0x3d000a7d,0x7d3d000a,0x0a7d3d00,0x000a7d3d,0x3e000a7d,0x7d3e000a,0x0a7d3e00,0x000a7d3e,0x3f000a7d,0x7d3f000a,0x0a7d3f00,0x000a7d3f,0x40000a7d,0x7d40000a,0x0a7d4000",0x000d,0x05,0x00,0x0340,0x3600,0x0040,0x001e,0x000000d5,0x00,0x04,0x00,0x00,0x0040
10,0xa,"0x000a7d44,0x45000a7d,0x7d45000a,0x0a7d4500,0x000a7d45,0x46000a7d,0x7d46000a,0x0a7d4600,0x000a7d46,0x47000a7d,0x7d47000a,0x0a7d4700,0x000a7d47,0x48000a7d,0x7d48000a,0x0a7d4800",0x000d,0x06,0x00,0x0380,0x3640,0x0040,0x001e,0x000000d6,0x00,0x04,0x00,0x00,0x0040
11,0xb,"0x000a7d4c,0x4d000a7d,0x7d4d000a,0x0a7d4d00,0x000a7d4d,0x4e000a7d,0x7d4e000a,0x0a7d4e00,0x000a7d4e,0x4f000a7d,0x7d4f000a,0x0a7d4f00,0x000a7d4f,0x50000a7d,0x7d50000a,0x0a7d5000",0x000d,0x07,0x00,0x03c0,0x3680,0x0040,0x001e,0x000000d7,0x00,0x04,0x00,0x00,0x0040
12,0xc,"0xffffffff,0x4dffffff,0x7a4dffff,0x0a7a4dff,0x000a7a4d,0x4e000a7a,0x7a4e000a,0x0a7a4e00,0x000a7a4e,0x4f000a7a,0x7a4f000a,0x0a7a4f00,0x000a7a4f,0x50000a7a,0x7a50000a,0x0a7a5000",0x0007,0x07,0x00,0x03ff,0x0000,0x0000,0x001e,0x00000000,0x00,0x04,0x08,0x00,0x0281
13,0xd,"0xffffffff,0x4dffffff,0x774dffff,0x0a774dff,0x000a774d,0x4e000a77,0x774e000a,0x0a774e00,0x000a774e,0x4f000a77,0x774f000a,0x0a774f00,0x000a774f,0x50000a77,0x7750000a,0x0a775000",0x0001,0x07,0x00,0x0000,0x38c0,0x0200,0x001e,0x00000000,0x00,0x04,0x08,0x00,0x0081
14,0xe,"0x000a7d94,0x95000a7d,0x7d95000a,0x0a7d9500,0x000a7d95,0x96000a7d,0x7d96000a,0x0a7d9600,0x000a7d96,0x97000a7d,0x7d97000a,0x0a7d9700,0x000a7d97,0x98000a7d,0x7d98000a,0x0a7d9800",0x000e,0x00,0x00,0x0000,0x38c0,0x0040,0x001e,0x000000e0,0x00,0x04,0x00,0x00,0x2240
15,0xf,"0x000a7d9c,0x9d000a7d,0x7d9d000a,0x0a7d9d00,0x000a7d9d,0x9e000a7d,0x7d9e000a,0x0a7d9e00,0x000a7d9e,0x9f000a7d,0x7d9f000a,0x0a7d9f00,0x000a7d9f,0xa0000a7d,0x7da0000a,0x0a7da000",0x000e,0x01,0x00,0x0040,0x3900,0x0040,0x001e,0x000000e1,0x00,0x04,0x00,0x00,0x2240
16,0x10,"0x000a7da4,0xa5000a7d,0x7da5000a,0x0a7da500,0x000a7da5,0xa6000a7d,0x7da6000a,0x0a7da600,0x000a7da6,0xa7000a7d,0x7da7000a,0x0a7da700,0x000a7da7,0xa8000a7d,0x7da8000a,0x0a7da800",0x000e,0x02,0x00,0x0080,0x3940,0x0040,0x001e,0x000000e2,0x00,0x04,0x00,0x00,0x2240
17,0x11,"0x000a7dac,0xad000a7d,0x7dad000a,0x0a7dad00,0x000a7dad,0xae000a7d,0x7dae000a,0x0a7dae00,0x000a7dae,0xaf000a7d,0x7daf000a,0x0a7daf00,0x000a7daf,0xb0000a7d,0x7db0000a,0x0a7db000",0x000e,0x03,0x00,0x00c0,0x3980,0x0040,0x001e,0x000000e3,0x00,0x04,0x00,0x00,0x2240
18,0x12,"0x000a7db4,0xb5000a7d,0x7db5000a,0x0a7db500,0x000a7db5,0xb6000a7d,0x7db6000a,0x0a7db600,0x000a7db6,0xb7000a7d,0x7db7000a,0x0a7db700,0x000a7db7,0xb8000a7d,0x7db8000a,0x0a7db800",0x000e,0x04,0x00,0x0100,0x39c0,0x0040,0x001e,0x000000e4,0x00,0x04,0x00,0x00,0x2240
19,0x13,"0x000a7dbc,0xbd000a7d,0x7dbd000a,0x0a7dbd00,0x000a7dbd,0xbe000a7d,0x7dbe000a,0x0a7dbe00,0x000a7dbe,0xbf000a7d,0x7dbf000a,0x0a7dbf00,0x000a7dbf,0xc0000a7d,0x7dc0000a,0x0a7dc000",0x000e,0x05,0x00,0x0140,0x3a00,0x0040,0x001e,0x000000e5,0x00,0x04,0x00,0x00,0x2240
20,0x14,"0x000a7dc4,0xc5000a7d,0x7dc5000a,0x0a7dc500,0x000a7dc5,0xc6000a7d,0x7dc6000a,0x0a7dc600,0x000a7dc6,0xc7000a7d,0x7dc7000a,0x0a7dc700,0x000a7dc7,0xc8000a7d,0x7dc8000a,0x0a7dc800",0x000e,0x06,0x00,0x0180,0x3a40,0x0040,0x001e,0x000000e6,0x00,0x04,0x00,0x00,0x2240
21,0x15,"0x000a7dcc,0xcd000a7d,0x7dcd000a,0x0a7dcd00,0x000a7dcd,0xce000a7d,0x7dce000a,0x0a7dce00,0x000a7dce,0xcf000a7d,0x7dcf000a,0x0a7dcf00,0x000a7dcf,0xd0000a7d,0x7dd0000a,0x0a7dd000",0x000e,0x07,0x00,0x01c0,0x3a80,0x0040,0x001e,0x000000e7,0x00,0x04,0x00,0x00,0x2240
22,0x16,"0xffffffff,0xcdffffff,0x7acdffff,0x0a7acdff,0x000a7acd,0xce000a7a,0x7ace000a,0x0a7ace00,0x000a7ace,0xcf000a7a,0x7acf000a,0x0a7acf00,0x000a7acf,0xd0000a7a,0x7ad0000a,0x0a7ad000",0x0008,0x07,0x00,0x03ff,0x0000,0x0000,0x001e,0x00000000,0x00,0x04,0x00,0x00,0x0281
23,0x17,"0xffffffff,0xcdffffff,0x77cdffff,0x0a77cdff,0x000a77cd,0xce000a77,0x77ce000a,0x0a77ce00,0x000a77ce,0xcf000a77,0x77cf000a,0x0a77cf00,0x000a77cf,0xd0000a77,0x77d0000a,0x0a77d000",0x0002,0x07,0x00,0x0200,0x32c0,0x0200,0x001e,0x00000010,0x00,0x04,0x00,0x00,0x0081
24,0x18,"0xffffffff,0x32ffffff,0x7532ffff,0x0a7532ff,0x000a7532,0x33000a75,0x7533000a,0x0a753300,0x000a7533,0x34000a75,0x7534000a,0x0a753400,0x000a7534,0x35000a75,0x7535000a,0x0a753500",0x017c,0x02,0x00,0x0000,0x0004,0x0020,0x0011,0x00000020,0x00,0x04,0x00,0x80,0x0881
25,0x19,"0x000a7cd4,0xd5000a7c,0x7cd5000a,0x0a7cd500,0x000a7cd5,0xd6000a7c,0x7cd6000a,0x0a7cd600,0x000a7cd6,0xd7000a7c,0x7cd7000a,0x0a7cd700,0x000a7cd7,0xd8000a7c,0x7cd8000a,0x0a7cd800",0x000c,0x00,0x01,0x0200,0x32c0,0x0040,0x001e,0x000000c8,0x00,0x04,0x00,0x00,0x0040
